                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.6776,                0.68849,                0.98397,                0.88472,                0.90916,                0.90003,                0.72053,                0.72319,                0.96857,                0.96108,             0.00038375,             0.00038375,             0.00038375
                     37,                0.65012,                0.69103,                0.96648,                0.89578,                0.90775,                0.89838,                0.72317,                0.71894,                0.94865,                0.95844,               0.000359,               0.000359,               0.000359
                     38,                0.61564,                0.65976,                0.98868,                0.91925,                0.87771,                0.91587,                0.74667,                0.69656,                 0.9004,                0.94246,             0.00033425,             0.00033425,             0.00033425
                     39,                0.61792,                0.65251,                0.97477,                0.93852,                0.88454,                0.93459,                0.74958,                0.72689,                 0.8668,                0.94682,              0.0003095,              0.0003095,              0.0003095
                     40,                0.62112,                0.64719,                0.96432,                0.96727,                0.88689,                0.93767,                0.75973,                0.72047,                0.85906,                0.93989,             0.00028475,             0.00028475,             0.00028475
                     41,                 0.5796,                0.84755,                  0.937,                0.95946,                 0.8898,                0.93003,                0.75179,                0.72973,                0.85144,                 0.9499,                0.00026,                0.00026,                0.00026
                     42,                0.58309,                0.79166,                0.92156,                 0.9453,                0.88882,                 0.9284,                0.75045,                0.72882,                0.85723,                0.95003,             0.00023525,             0.00023525,             0.00023525
                     43,                0.56695,                 0.7835,                 0.9035,                 0.8978,                0.92313,                 0.9324,                0.75197,                0.71883,                0.90411,                0.93939,              0.0002105,              0.0002105,              0.0002105
                     44,                0.59332,                0.80344,                0.90669,                0.90518,                0.92293,                 0.9289,                0.74319,                0.70274,                0.88442,                0.93179,             0.00018575,             0.00018575,             0.00018575
                     45,                0.56099,                0.73492,                0.90021,                0.92098,                0.90438,                0.93595,                0.74878,                0.70133,                0.86479,                0.93399,               0.000161,               0.000161,               0.000161
                     46,                0.55284,                0.71001,                 0.8914,                0.91629,                0.90274,                0.94213,                 0.7469,                0.70221,                0.84062,                0.93236,             0.00013625,             0.00013625,             0.00013625
                     47,                0.53911,                0.68078,                0.88717,                 0.9291,                0.88223,                0.94317,                0.74627,                0.70494,                0.84095,                0.93625,              0.0001115,              0.0001115,              0.0001115
                     48,                 0.5508,                0.68671,                0.89662,                0.92621,                0.88241,                0.93917,                0.74947,                0.70058,                 0.8366,                0.93609,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.54928,                0.67419,                0.90208,                  0.911,                0.89574,                 0.9394,                0.75249,                 0.6966,                0.83478,                0.93378,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                0.53034,                0.67643,                0.90429,                0.91223,                0.89643,                 0.9394,                0.75922,                0.69373,                 0.8369,                0.92988,              3.725e-05,              3.725e-05,              3.725e-05
